"industry total final consumption by source in Morocco",Value,Year,Units
"Coal and coal products",22134,2000, TJ
"Coal and coal products",25698,2001, TJ
"Coal and coal products",25146,2002, TJ
"Coal and coal products",14341,2003, TJ
"Coal and coal products",1022,2004, TJ
"Coal and coal products",1022,2005, TJ
"Coal and coal products",1022,2006, TJ
"Coal and coal products",1022,2007, TJ
"Coal and coal products",1657,2008, TJ
"Coal and coal products",635,2009, TJ
"Coal and coal products",884,2010, TJ
"Coal and coal products",828,2011, TJ
"Coal and coal products",414,2012, TJ
"Coal and coal products",580,2013, TJ
"Coal and coal products",746,2014, TJ
"Coal and coal products",746,2015, TJ
"Coal and coal products",746,2016, TJ
"Coal and coal products",756,2017, TJ
"Coal and coal products",828,2018, TJ
"Coal and coal products",828,2019, TJ
"Coal and coal products",672,2020, TJ
"Coal and coal products",718,2021, TJ
"Coal and coal products",653,2022, TJ
"Coal and coal products",1104,2023, TJ
"Oil and oil products",44737,2000, TJ
"Oil and oil products",41241,2001, TJ
"Oil and oil products",38624,2002, TJ
"Oil and oil products",36323,2003, TJ
"Oil and oil products",70866,2004, TJ
"Oil and oil products",74583,2005, TJ
"Oil and oil products",74445,2006, TJ
"Oil and oil products",73710,2007, TJ
"Oil and oil products",82810,2008, TJ
"Oil and oil products",78696,2009, TJ
"Oil and oil products",83436,2010, TJ
"Oil and oil products",93643,2011, TJ
"Oil and oil products",95889,2012, TJ
"Oil and oil products",94795,2013, TJ
"Oil and oil products",81895,2014, TJ
"Oil and oil products",79749,2015, TJ
"Oil and oil products",72911,2016, TJ
"Oil and oil products",86241,2017, TJ
"Oil and oil products",84814,2018, TJ
"Oil and oil products",81541,2019, TJ
"Oil and oil products",71637,2020, TJ
"Oil and oil products",81000,2021, TJ
"Oil and oil products",72158,2022, TJ
"Oil and oil products",68822,2023, TJ
"Natural gas",1591,2000, TJ
"Natural gas",1574,2001, TJ
"Natural gas",1523,2002, TJ
"Natural gas",1469,2003, TJ
"Natural gas",2135,2004, TJ
"Natural gas",1419,2005, TJ
"Natural gas",2082,2006, TJ
"Natural gas",2243,2007, TJ
"Natural gas",1845,2008, TJ
"Natural gas",1531,2009, TJ
"Natural gas",1880,2010, TJ
"Natural gas",2117,2011, TJ
"Natural gas",2826,2012, TJ
"Natural gas",1919,2013, TJ
"Natural gas",3541,2014, TJ
"Natural gas",2787,2015, TJ
"Natural gas",2552,2016, TJ
"Natural gas",2583,2017, TJ
"Natural gas",2761,2018, TJ
"Natural gas",3084,2019, TJ
"Natural gas",3116,2020, TJ
"Natural gas",3450,2021, TJ
"Natural gas",2397,2022, TJ
"Natural gas",1496,2023, TJ
"Electricity",21787,2000, TJ
"Electricity",20048,2001, TJ
"Electricity",21164,2002, TJ
"Electricity",22410,2003, TJ
"Electricity",22131,2004, TJ
"Electricity",23876,2005, TJ
"Electricity",25953,2006, TJ
"Electricity",27481,2007, TJ
"Electricity",29127,2008, TJ
"Electricity",30113,2009, TJ
"Electricity",31867,2010, TJ
"Electricity",34396,2011, TJ
"Electricity",36878,2012, TJ
"Electricity",37094,2013, TJ
"Electricity",38375,2014, TJ
"Electricity",39110,2015, TJ
"Electricity",40284,2016, TJ
"Electricity",42570,2017, TJ
"Electricity",43433,2018, TJ
"Electricity",44754,2019, TJ
"Electricity",42573,2020, TJ
"Electricity",46215,2021, TJ
"Electricity",47225,2022, TJ
"Electricity",49061,2023, TJ
"Biofuels and waste",2761,2000, TJ
"Biofuels and waste",2806,2001, TJ
"Biofuels and waste",2833,2002, TJ
"Biofuels and waste",2863,2003, TJ
"Biofuels and waste",2944,2004, TJ
"Biofuels and waste",3072,2005, TJ
"Biofuels and waste",3303,2006, TJ
"Biofuels and waste",3601,2007, TJ
"Biofuels and waste",3946,2008, TJ
"Biofuels and waste",3986,2009, TJ
"Biofuels and waste",4098,2010, TJ
"Biofuels and waste",4484,2011, TJ
"Biofuels and waste",4475,2012, TJ
"Biofuels and waste",4304,2013, TJ
"Biofuels and waste",4214,2014, TJ
"Biofuels and waste",4299,2015, TJ
"Biofuels and waste",4283,2016, TJ
"Biofuels and waste",4332,2017, TJ
"Biofuels and waste",4378,2018, TJ
"Biofuels and waste",4413,2019, TJ
"Biofuels and waste",4147,2020, TJ
"Biofuels and waste",4532,2021, TJ
"Biofuels and waste",4308,2022, TJ
"Biofuels and waste",4299,2023, TJ
